station_location,kjso,date,hour_temp_taken
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-07-31,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-01,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-02,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-03,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",100,2023-08-04,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",99,2023-08-05,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",98,2023-08-06,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",100,2023-08-07,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",98,2023-08-08,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-09,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-10,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-11,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-12,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-13,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-14,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",94,2023-08-15,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",92,2023-08-16,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-17,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",105,2023-08-18,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",104,2023-08-19,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",105,2023-08-20,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",102,2023-08-21,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-22,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",101,2023-08-23,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",105,2023-08-24,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",105,2023-08-25,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",104,2023-08-26,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",95,2023-08-27,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",90,2023-08-28,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",92,2023-08-29,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",94,2023-08-30,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",94,2023-08-31,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",94,2023-09-01,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",96,2023-09-02,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",95,2023-09-03,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",89,2023-09-04,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",98,2023-09-05,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",98,2023-09-06,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",103,2023-09-07,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",99,2023-09-08,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",91,2023-09-09,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",90,2023-09-10,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",85,2023-09-11,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",90,2023-09-12,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",76,2023-09-13,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",72,2023-09-14,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",81,2023-09-15,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",83,2023-09-16,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",90,2023-09-17,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",90,2023-09-18,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",92,2023-09-19,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",89,2023-09-20,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",94,2023-09-21,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",95,2023-09-22,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",96,2023-09-23,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",89,2023-09-24,14:55:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",88,2023-09-29,14:15:00
"JACKSONVILLE CHEROKEE CO AIRPORT, TX US",92,2023-09-30,14:55:00
