station_location,kskf,rh,date,hour_temp_taken
"SAN ANTONIO KELLY FIELD AFB, TX US",103,27,2023-07-18,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,25,2023-07-19,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,26,2023-07-20,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,22,2023-07-21,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,26,2023-07-22,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",84,51,2023-07-23,14:58:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,31,2023-07-24,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,30,2023-07-25,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,24,2023-07-26,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,26,2023-07-27,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,22,2023-07-28,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,27,2023-07-29,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,27,2023-07-30,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,27,2023-07-31,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,30,2023-08-01,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,24,2023-08-02,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,36,2023-08-03,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,24,2023-08-04,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,25,2023-08-05,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,26,2023-08-06,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,22,2023-08-07,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,26,2023-08-08,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",105,25,2023-08-09,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,28,2023-08-10,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,26,2023-08-11,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,28,2023-08-12,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,31,2023-08-13,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,28,2023-08-14,14:57:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,27,2023-08-15,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,21,2023-08-16,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,18,2023-08-17,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,22,2023-08-18,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,24,2023-08-19,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,28,2023-08-20,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,24,2023-08-21,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",81,84,2023-08-22,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,40,2023-08-23,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,30,2023-08-24,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,28,2023-08-25,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,22,2023-08-26,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,20,2023-08-27,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",91,47,2023-08-28,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,26,2023-08-29,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,20,2023-08-30,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,19,2023-08-31,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,23,2023-09-01,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,21,2023-09-02,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,20,2023-09-03,14:58:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,22,2023-09-04,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,27,2023-09-05,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,29,2023-09-06,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,28,2023-09-07,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,24,2023-09-08,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,28,2023-09-09,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,31,2023-09-10,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,30,2023-09-11,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",94,31,2023-09-12,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",91,40,2023-09-13,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,31,2023-09-14,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",94,45,2023-09-15,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",92,36,2023-09-16,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",93,33,2023-09-17,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,28,2023-09-18,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,29,2023-09-20,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,34,2023-09-21,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,36,2023-09-22,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,36,2023-09-23,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,31,2023-09-24,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",95,37,2023-09-25,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,30,2023-09-26,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,29,2023-09-27,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",93,35,2023-09-28,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",95,31,2023-09-29,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",96,36,2023-09-30,14:55:00
