station_location,klxy,rh,date,hour_temp_taken
"MEXIA LIMESTONE CO AIRPORT, TX US",95,47,2023-07-09,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",100,38,2023-07-10,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,53,2023-07-11,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,36,2023-07-12,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,36,2023-07-13,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,39,2023-07-14,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,34,2023-07-15,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,45,2023-07-16,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,24,2023-07-17,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,30,2023-07-18,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,25,2023-07-19,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,29,2023-07-20,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",100,30,2023-07-21,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",97,42,2023-07-22,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,24,2023-07-23,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,25,2023-07-24,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",100,31,2023-07-25,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",99,29,2023-07-26,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",99,30,2023-07-27,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,35,2023-07-28,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",100,27,2023-07-29,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,27,2023-07-30,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",104,24,2023-07-31,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,25,2023-08-01,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,22,2023-08-02,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,29,2023-08-03,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,28,2023-08-04,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,25,2023-08-05,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,27,2023-08-06,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",104,31,2023-08-07,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,32,2023-08-08,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",104,27,2023-08-09,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",106,29,2023-08-10,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,27,2023-08-11,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,30,2023-08-12,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,31,2023-08-13,14:35:00
"MEXIA LIMESTONE CO AIRPORT, TX US",104,24,2023-08-14,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",97,23,2023-08-15,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",97,22,2023-08-16,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",106,21,2023-08-17,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",106,22,2023-08-18,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,25,2023-08-19,14:35:00
"MEXIA LIMESTONE CO AIRPORT, TX US",109,19,2023-08-20,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,26,2023-08-21,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",103,24,2023-08-22,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,28,2023-08-23,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",104,24,2023-08-24,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",108,22,2023-08-25,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",106,21,2023-08-26,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,35,2023-08-27,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",88,58,2023-08-28,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,33,2023-08-29,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,29,2023-08-30,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,30,2023-08-31,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,29,2023-09-01,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",97,28,2023-09-02,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",100,25,2023-09-03,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",99,33,2023-09-04,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",102,33,2023-09-05,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",101,34,2023-09-06,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",105,24,2023-09-07,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",107,19,2023-09-08,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,42,2023-09-09,14:55:00
