station_location,kppa,rh,date,hour_temp_taken
"PERRY LEFORS FIELD AIRPORT, TX US",76,67,2023-05-28,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,49,2023-05-29,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,49,2023-05-30,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,51,2023-05-31,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,75,2023-06-01,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,69,2023-06-02,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,55,2023-06-03,14:35:00
"PERRY LEFORS FIELD AIRPORT, TX US",63,88,2023-06-04,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",80,44,2023-06-05,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,44,2023-06-06,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,53,2023-06-07,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",83,43,2023-06-08,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,41,2023-06-09,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,53,2023-06-10,14:35:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,49,2023-06-11,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",64,84,2023-06-12,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,66,2023-06-13,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,38,2023-06-14,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",88,47,2023-06-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,42,2023-06-16,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,50,2023-06-17,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,32,2023-06-18,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",97,21,2023-06-19,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",99,26,2023-06-20,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,63,2023-06-21,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,81,2023-06-22,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",84,66,2023-06-23,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",NA,NA,2023-06-24,14:15:00
"PERRY LEFORS FIELD AIRPORT, TX US",88,52,2023-07-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",91,39,2023-07-16,14:55:00
